Entity ID,Symbol,Name,Inter- net Address,Stock Exchange,Sector,Economy Sector,Company is Active,Datenc (FIRST),Datenc (RT Last),Closing Price,Market Value,Sales
000YMS-E,WMT,Walmart Inc.,http://corporate.walmart.com,NYSE,Retail Trade,Consumer Non-Cyclicals,1,19841105,20180706,84.51,249375.8,500343
0602MW-E,FDS0DSUF,State Grid Corp. of China,http://www.sgcc.com.cn,#NAME?,#NAME?,Utilities,0,NA,NA,,,327319.9
003V50-E,629181,China Petroleum & Chemical Corporation Class H,http://www.sinopec.com/listco/en/,HONG KONG,Energy Minerals,Energy,1,20001019,20180706,0.8765616,112495.3,314417.2
066L2H-E,B03MM4,Royal Dutch Shell Plc Class B,http://www.shell.com,LONDON,Energy Minerals,Energy,1,19881212,20180706,35.82124,293930.6,305179
0035C7-E,622657,PetroChina Company Limited Class H,http://www.petrochina.com.cn,HONG KONG,Energy Minerals,Energy,1,20000407,20180706,0.7211248,196684.6,269271.3
003K89-E,7203,Toyota Motor Corp.,http://www.toyota.co.jp,TOKYO,Consumer Durables,Consumer Cyclicals,1,19850102,20180706,64.84676,211594.8,265121.7
001YFZ-E,549716,Volkswagen AG Pref,http://www.volkswagenag.com,XETRA,Consumer Durables,Consumer Cyclicals,1,19900102,20180706,173.7053,86161.7,260194.2
05KTG4-E,FDS05UZE,China National Petroleum Corp.,http://www.cnpc.com.cn,#NAME?,#NAME?,Energy,1,NA,NA,,,252072.9
000CS1-E,BRK.B,Berkshire Hathaway Inc. Class B,http://www.berkshirehathaway.com,NYSE,Finance,Finance,1,19960509,20180706,187.56,464677.8,241419
001LLD-E,79805,BP p.l.c.,http://www.bp.com,LONDON,Energy Minerals,Energy,1,19850102,20180706,7.687263,153607.5,240208
002Q0G-E,XOM,Exxon Mobil Corporation,http://www.exxonmobil.com,NYSE,Energy Minerals,Energy,1,19841105,20180706,82.33,348571.6,237162
000C7F-E,AAPL,Apple Inc.,http://www.apple.com,NASDAQ,Electronic Technology,Technology,1,19841105,20180706,187.97,923898.5,228572
000VPP-E,677172,"Samsung Electronics Co., Ltd.",http://www.samsung.com,KOREA,Electronic Technology,Technology,1,19880629,20180706,40.23478,287714.2,211917.9
000PM1-E,MCK,McKesson Corporation,http://www.mckesson.com,NYSE,Distribution Services,Healthcare,1,19841105,20180706,137.88,27449.61,208357
0BRLNB-E,B4T3BW,Glencore plc,http://www.glencore.com,LONDON,Non-Energy Minerals,Energy,1,20110519,20180706,4.366647,63692.79,205476
000Y3J-E,UNH,UnitedHealth Group Incorporated,http://www.unitedhealthgroup.com,NYSE,Health Services,Healthcare,1,19841105,20180706,250.76,240725.8,201168
00256R-E,DAI.D,Daimler-Benz Ag,#NAME?,#NAME?,Consumer Durables,Consumer Cyclicals,1,NA,NA,,,187268.8
0025F0-E,552902,Daimler AG,http://www.daimler.com,XETRA,Consumer Durables,Consumer Cyclicals,1,19850102,20180706,68.24053,73006.28,185353.5
001HHK-E,CVS,CVS Health Corporation,http://www.cvshealth.com,NYSE,Retail Trade,Consumer Non-Cyclicals,1,19841105,20180706,66.48,66173.48,184765
001MF1-E,AMZN,"Amazon.com, Inc.",http://www.amazon.com,NASDAQ,Retail Trade,Consumer Non-Cyclicals,1,19970515,20180706,1710.63,830043.9,177866
0GPW6G-E,BYSLCX,EXOR N.V.,http://www.exor.com,MILAN,Finance,Finance,1,19860319,20180706,67.55859,16281.62,161779.7
069J8N-E,T,AT&T Inc.,http://www.att.com,NYSE,Communications,Telecommunications,1,19841105,20180706,32.68,238837.4,160546
05LXLF-E,B1G1QD,Industrial and Commercial Bank of China Limited Class H,http://www.icbc.com.cn,HONG KONG,Finance,Finance,1,20061027,20180706,0.7045618,275705.9,159222.8
000KN2-E,F,Ford Motor Company,http://www.ford.com,NYSE,Consumer Durables,Consumer Cyclicals,1,19841105,20180706,11.06,44035.38,156776
05H5DH-E,643856,"Hon Hai Precision Industry Co., Ltd.",http://www.honhai.com.tw,TAIWAN,Electronic Technology,Technology,1,19910926,20180706,2.641726,45777.78,154711.3
05Q1QY-E,B3Y6LV,China State Construction Engineering Corp. Ltd. Class A,http://www.cscec.com,SHANGHAI,Industrial Services,Industrials,1,20090730,20180706,0.7626928,32021.79,153892.3
003894-E,ABC,AmerisourceBergen Corporation,http://www.amerisourcebergen.com,NYSE,Distribution Services,Healthcare,1,19950404,20180706,87.97,19166.91,153143.8
003894-E,03071P91,Amerisourcebergen Corporatio,http://www.amerisourcebergen.com,#NAME?,Distribution Services,Healthcare,1,NA,NA,,,153143.8
003894-E,03071P92,Amerisourcebergen Corporatio,http://www.amerisourcebergen.com,#NAME?,Distribution Services,Healthcare,1,NA,NA,,,153143.8
002KX6-E,B15C55,Total SA,http://www.total.com,EURONEXT PARIS,Energy Minerals,Energy,1,19850102,20180706,62.67923,166997.1,149099
002KX6-E,2509011C,Total Sa,http://www.total.com,#NAME?,#NAME?,Energy,1,NA,NA,,,149099
002KX6-E,434958,Total SA,http://www.total.com,EURONEXT PARIS,Energy Minerals,Energy,1,19850102,19980407,,,149099
0801VG-E,GM,General Motors Company,http://www.gm.com,NYSE,Consumer Durables,Consumer Cyclicals,1,20101118,20180706,39.16,55630.68,145588
003JW8-E,7267,"Honda Motor Co., Ltd.",http://www.honda.co.jp,TOKYO,Consumer Durables,Consumer Cyclicals,1,19850102,20180706,29.22722,52943.02,138598
05W4FW-E,B0LMTQ,China Construction Bank Corporation Class H,http://www.ccb.com,HONG KONG,Finance,Finance,1,20051027,20180706,0.9109616,228334,137193.6
06GN6W-E,FDS06DW0,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
06GN6W-E,FDS0D2FQ,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
06GN6W-E,FDS0D2FR,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
06GN6W-E,FDS0D2FU,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
06GN6W-E,FDS0D2FV,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
06GN6W-E,FDS0D2FX,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
06GN6W-E,FDS0D2G0,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
06GN6W-E,FDS0D2G2,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
06GN6W-E,FDS0D2G3,Trafigura Beheer B.V.,http://www.trafigura.com,#NAME?,#NAME?,Energy,1,NA,NA,,,136420.7
000DP6-E,CVX,Chevron Corporation,http://www.chevron.com,NYSE,Energy Minerals,Energy,1,19841105,20180706,124.14,237226.2,134779
05TS94-E,B01FLR,"Ping An Insurance (Group) Company of China, Ltd. Class H",http://www.pingan.com,HONG KONG,Finance,Finance,1,20040624,20180706,8.880282,158925.1,130343.5
000DCC-E,CAH,"Cardinal Health, Inc.",http://www.cardinalhealth.com,NYSE,Distribution Services,Healthcare,1,19841105,20180706,49.94,15546.68,129977
000F9X-E,COST,Costco Wholesale Corporation,http://www.costco.com,NASDAQ,Retail Trade,Consumer Non-Cyclicals,1,19851127,20180706,209.62,91716.67,129025
05L8TP-E,608697,SAIC Motor Corporation Limited Class A,http://www.saicmotor.com,SHANGHAI,Consumer Durables,Consumer Cyclicals,1,19971208,20180706,5.072584,59265.34,127660.5
001VPR-E,708842,AXA SA,http://www.axa.com,EURONEXT PARIS,Finance,Finance,1,19860725,20180706,24.8436,60204.27,126997.5
000CQ8-E,VZ,Verizon Communications Inc.,http://www.verizon.com,NYSE,Communications,Telecommunications,1,19841105,20180706,51.48,211883.7,126034
00G6FT-E,BRJFWP,Fiat Chrysler Automobiles N.V.,http://www.fcagroup.com,MILAN,Consumer Durables,Consumer Cyclicals,1,19850102,20180706,19.93131,38846.76,125126.3
05MKV6-E,B60LZR,Agricultural Bank of China Limited Class H,http://www.abchina.com,HONG KONG,Finance,Finance,1,20100716,20180706,0.4535697,176745.9,124092.3
000NXL-E,KR,Kroger Co.,http://www.kroger.com,NYSE,Retail Trade,Consumer Non-Cyclicals,1,19841105,20180706,29.12,22784.94,122662
0032RQ-E,523148,Allianz SE,http://www.allianz.com,XETRA,Finance,Finance,1,19850102,20180706,211.1882,90784.7,122549
000KYG-E,GE,General Electric Company,http://www.ge.com,NYSE,Producer Manufacturing,Industrials,1,19841105,20180706,13.85,120291.9,120468
0DVRCL-E,WBA,Walgreens Boots Alliance Inc,http://www.walgreensbootsalliance.com,NASDAQ,Retail Trade,Consumer Non-Cyclicals,1,19841105,20180706,63.3,61906.66,118214
0028BD-E,730968,BNP Paribas SA Class A,http://www.bnpparibas.com,EURONEXT PARIS,Finance,Finance,1,19931019,20180706,63.3259,79085.14,117774.4
074SBM-E,6178,"JAPAN POST HOLDINGS Co., Ltd.",http://www.japanpost.jp,TOKYO,Finance,Finance,1,20151104,20180706,10.91946,49137.58,116575.8
000JHG-E,FNMA,Federal National Mortgage Association,http://www.fanniemae.com,US OTC,Finance,Finance,1,19841105,20180706,1.4,1621.323,113800
0035K2-E,JPM,JPMorgan Chase & Co.,http://www.jpmorganchase.com,NYSE,Finance,Finance,1,19841105,20180706,104.06,354301.1,112582
0035K2-E,CHL.B,Chemical Bkg Corp Cl B,http://www.jpmorganchase.com,NYSE,Finance,Finance,1,19870501,19920326,,,112582
05KR5Y-E,B15456,Bank of China Limited Class H,http://www.boc.cn,HONG KONG,Finance,Finance,1,20060601,20180706,0.4675845,153242,112401.6
000TWC-E,70995,Prudential plc,http://www.prudential.co.uk,LONDON,Finance,Finance,1,19880526,20180706,23.38967,60623.05,111476.5
05HF3F-E,575602,Bayerische Motoren Werke AG,http://www.bmwgroup.com,XETRA,Consumer Durables,Consumer Cyclicals,1,19850102,20180706,94.29515,61276.28,111302.3
0FPWZZ-E,GOOGL,Alphabet Inc. Class A,http://www.abc.xyz,NASDAQ,Technology Services,Technology,1,20040819,20180706,1155.08,797055.6,111024
00161G-E,FDS01WRW,"Cargill, Incorporated",http://www.cargill.com,#NAME?,Process Industries,Consumer Non-Cyclicals,1,NA,NA,,,109700
0031W6-E,607355,China Mobile Limited,http://www.chinamobileltd.com,HONG KONG,Communications,Telecommunications,1,19971023,20180706,8.867541,181567.2,109572.3
05HWBM-E,B59L4L,Public Joint-Stock Company Gazprom,http://www.gazprom.ru,MICEX,Energy Minerals,Energy,1,20060123,20180706,2.301453,54483.48,109446.6
05HK04-E,7201,"Nissan Motor Co., Ltd.",http://www.nissan.co.jp,TOKYO,Consumer Durables,Consumer Cyclicals,1,19850102,20180706,9.520576,40183.64,107831
00231G-E,9432,Nippon Telegraph and Telephone Corporation,http://www.ntt.co.jp,TOKYO,Communications,Telecommunications,1,19870210,20180706,44.96356,94261.36,106463.3
000RGR-E,WFC,Wells Fargo & Company,http://www.wellsfargo.com,NYSE,Finance,Finance,1,19841105,20180706,55.89,272344.9,105455
009SWP-E,B297KM,China Railway Group Limited Class H,http://www.crec.cn,HONG KONG,Industrial Services,Industrials,1,20071207,20180706,0.7402359,25009.92,101908.9
05HQZG-E,B59SNS,Oil company LUKOIL PJSC,http://www.lukoil.com,MICEX,Energy Minerals,Energy,1,20030820,20180706,70.10255,59626.65,101778.2
000LR9-E,HD,"Home Depot, Inc.",http://www.homedepot.com,NYSE,Retail Trade,Consumer Cyclicals,1,19841105,20180706,194.48,224341.2,100904
000R3K-E,BAC,Bank of America Corp,http://www.bankofamerica.com,NYSE,Finance,Finance,1,19841105,20180706,28.03,284206,100612
00DGRF-E,ESRX,Express Scripts Holding Company,http://www.express-scripts.com,NASDAQ,Health Services,Healthcare,1,19920609,20180706,80.07,44915.21,100286.3
00DGRF-E,30218291,"Express Scripts, Inc.",http://www.express-scripts.com,#NAME?,Health Services,Consumer Non-Cyclicals,1,NA,NA,,,100286.3
06PG6N-E,B2PFVH,China Railway Construction Corporation Limited Class H,http://www.crcc.cn,HONG KONG,Industrial Services,Industrials,1,20080313,20180706,0.9874058,16291.85,100030.9
000Y8N-E,VLO,Valero Energy Corporation,http://www.valero.com,NYSE,Energy Minerals,Energy,1,19841105,20180706,107.83,46337.04,93980
05TJSW-E,671897,China Life Insurance Co. Ltd. Class H,http://www.e-chinalife.com,HONG KONG,Finance,Finance,1,20031218,20180706,2.441122,88897.47,93890.23
000CYC-E,BA,Boeing Company,http://www.boeing.com,NYSE,Electronic Technology,Industrials,1,19841105,20180706,334.64,194104.3,93392
05G1SW-E,405671,Assicurazioni Generali S.p.A.,http://www.generali.com,MILAN,Finance,Finance,1,19850102,20180706,17.09541,26757.13,93132.43
088JCX-E,5020,JXTG Holdings. Inc.,http://www.hd.jx-group.co.jp,TOKYO,Energy Minerals,Energy,1,20100401,20180706,6.972702,23894.87,92942.77
002Q21-E,572797,Siemens AG,http://www.siemens.com,XETRA,Producer Manufacturing,Industrials,1,19850102,20180706,135.3053,115009.5,91650.95
002Q21-E,2809006B,Siemens Ag,http://www.siemens.com,#NAME?,#NAME?,Consumer Non-Cyclicals,1,NA,NA,,,91650.95
002D1X-E,564156,Carrefour SA,http://www.carrefour.com,EURONEXT PARIS,Retail Trade,Consumer Non-Cyclicals,1,19850102,20180706,16.9308,13115.92,91334.5
001XQ4-E,712387,Nestle S.A.,http://www.nestle.com,SIX SWISS,Consumer Non-Durables,Consumer Non-Cyclicals,1,19850102,20180706,80.61467,246922.7,91226.72
05L7XS-E,B59SS1,Rosneft Oil Co.,http://www.rosneft.ru,MICEX,Energy Minerals,Energy,1,20060719,20180706,6.404567,67876.74,90793.99
060W5N-E,ANTM,"Anthem, Inc.",http://www.antheminc.com,NYSE,Health Services,Healthcare,1,20011030,20180706,242.15,61260.52,90114.2
0C7248-E,PSX,Phillips 66,http://www.phillips66.com,NYSE,Energy Minerals,Energy,1,20120412,20180706,111.18,51365.7,89547
000Q07-E,MSFT,Microsoft Corporation,http://www.microsoft.com,NASDAQ,Technology Services,Technology,1,19860313,20180706,101.16,777232.4,89395
0BLWSQ-E,FDS0GRX3,Huawei Investment & Holding Co. Ltd.,#NAME?,#NAME?,#NAME?,Technology,1,NA,NA,,,89316.55
003LG0-E,268453,Petroleo Brasileiro SA Pfd,http://www.petrobras.com.br,SAO PAULO,Energy Minerals,Energy,1,19910828,20180706,4.566454,63526,88860.3
0027L0-E,C,Citigroup Inc.,http://www.citigroup.com,NYSE,Finance,Finance,1,19861029,20180706,67.14,171202.5,88117
05JKQZ-E,FDSA96A2,Robert Bosch GmbH,http://www.bosch.de,#NAME?,Producer Manufacturing,Consumer Cyclicals,1,NA,NA,,,88053.34
06WSS6-E,570594,Banco Santander S.A.,http://www.santander.com,SPAIN,Finance,Finance,1,19850102,20180706,5.593043,90250.2,86797.95
001MFB-E,645105,Hyundai Motor Company,http://worldwide.hyundai.com,KOREA,Consumer Durables,Consumer Cyclicals,1,19861112,20180706,110.668,29154.24,85250.06
0011H9-E,584235,Deutsche Telekom AG,http://www.telekom.com,XETRA,Communications,Telecommunications,1,19961118,20180706,16.2665,77452.27,84535.31
000LQ5-E,6501,"Hitachi,Ltd.",http://www.hitachi.co.jp,TOKYO,Producer Manufacturing,Industrials,1,19850102,20180706,6.870388,33207.77,84529.55
05LL2F-E,CMCSA,Comcast Corporation Class A,http://corporate.comcast.com,NASDAQ,Consumer Services,Telecommunications,1,19841105,20180706,33.58,152406.3,84526
0029XB-E,9984,SoftBank Group Corp.,http://www.softbank.jp,TOKYO,Communications,Telecommunications,1,19940725,20180706,75.08715,82645.45,82636.16
0FQ996-E,B39Z8L,"SK Holdings Co., Ltd.",http://www.sk.co.kr,KOREA,Technology Services,Finance,1,20091111,20180706,230.2971,16274.29,82525.89
0031L0-E,714456,Enel SpA,http://www.enel.com,MILAN,Utilities,Utilities,1,19991102,20180706,5.743539,58392.72,81960.23
0G7ZV9-E,BZ6CZ4,Uniper SE,http://www.uniper.energy,XETRA,Utilities,Utilities,1,20160912,20180706,31.66295,11587.37,81479.73
003JR8-E,B00FM5,Banco Bradesco SA Pfd,http://www.bradesco.com.br,SAO PAULO,Finance,Finance,1,19921120,20180706,7.170403,45404.57,80155.56
000N1N-E,IBM,International Business Machines Corporation,http://www.ibm.com,NYSE,Technology Services,Technology,1,19841105,20180706,142.48,129828.2,79139
002J95-E,54052,HSBC Holdings Plc,http://www.hsbc.com,LONDON,Finance,Finance,1,19850102,20180706,9.322681,186347.2,78897
002J95-E,8264197B,Hsbc Holdings Plc,http://www.hsbc.com,#NAME?,#NAME?,Finance,1,NA,NA,,,78897
0GGD8K-E,DVMT,Dell Technologies Inc Class V,http://www.delltechnologies.com,NYSE,Electronic Technology,Technology,1,20160810,20180706,93.34,72110.3,78737
05HHCW-E,B0NJJ1,Electricite de France SA,http://www.edf.fr,EURONEXT PARIS,Utilities,Utilities,1,20051121,20180706,14.47348,43569.06,78540.34
001CJR-E,6758,Sony Corporation,http://www.sony.co.jp,TOKYO,Consumer Durables,Technology,1,19850102,20180706,49.34583,62592.26,77137.8
000NB6-E,JNJ,Johnson & Johnson,http://www.jnj.com,NYSE,Health Technology,Healthcare,1,19841105,20180706,125.75,337280.3,76481
05DZHK-E,714505,Eni S.p.A.,http://www.eni.com,MILAN,Energy Minerals,Energy,1,19951129,20180706,19.02364,69135.41,75480.25
05HF1X-E,88470,Tesco PLC,http://www.tescoplc.com,LONDON,Retail Trade,Consumer Non-Cyclicals,1,19850102,20180706,3.452698,33791.52,75377.32
05HRR2-E,8267,"AEON Co., Ltd.",http://www.aeon.info,TOKYO,Retail Trade,Consumer Non-Cyclicals,1,19850102,20180706,20.19105,17605.07,75310.28
05HG4G-E,401225,Airbus SE,http://www.airbusgroup.com,EURONEXT PARIS,Electronic Technology,Industrials,1,19990604,20180706,115.8114,89903.84,75308.8
05HJFH-E,FDS00VGH,Petroleos Mexicanos SA,http://www.pemex.com,#NAME?,Energy Minerals,Energy,1,NA,NA,,,73892.94
001DKD-E,FMCC,Freddie Mac,http://www.freddiemac.com,US OTC,Finance,Finance,1,19881207,20180706,1.58,1027.093,73841
05GJN3-E,710352,Peugeot SA,http://www.groupe-psa.com,EURONEXT PARIS,Consumer Durables,Consumer Cyclicals,1,19850102,20180706,24.27924,21968.54,73552.61
06X2JD-E,B0C2CQ,ENGIE SA,http://www.engie.com,EURONEXT PARIS,Utilities,Utilities,1,20050708,20180706,15.97256,38897.75,73348.45
002YCC-E,508657,BASF SE,http://www.basf.com,XETRA,Process Industries,Non-Energy Materials,1,19850102,20180706,96.77598,88886.68,72723.58
001RJ7-E,6752,Panasonic Corporation,http://www.panasonic.com/global/home.html,TOKYO,Consumer Durables,Technology,1,19850102,20180706,12.76654,31317,72020.12
002RXT-E,TGT,Target Corporation,http://www.target.com,NYSE,Retail Trade,Consumer Non-Cyclicals,1,19841105,20180706,76.79,40811.49,71879
008TL5-E,B1JKTQ,China Communications Construction Co. Ltd. Class H,http://www.ccccltd.cn,HONG KONG,Industrial Services,Industrials,1,20061215,20180706,0.9135097,23289,71159.16
0GF794-E,BD0Q39,Royal Ahold Delhaize N.V.,http://www.aholddelhaize.com,EURONEXT AMSTERDAM,Retail Trade,Consumer Non-Cyclicals,1,19851114,20180706,24.36742,30381.51,70935.8
001BP4-E,529412,Munich Reinsurance Company,http://www.munichre.com,XETRA,Finance,Finance,1,19850102,20180706,215.6326,32245.37,70199.27
0678TN-E,B8RZJZ,People's Insurance Co. (Group) of China Ltd. Class H,http://www.picc.com,HONG KONG,Finance,Finance,1,20121207,20180706,0.4395549,18647.78,70055.12
05HK0W-E,BYPBS6,ArcelorMittal SA,http://www.arcelormittal.com,EURONEXT AMSTERDAM,Non-Energy Minerals,Non-Energy Materials,1,19970811,20180706,29.9346,30590.27,68679
05HK0W-E,N0661010,Arcelor Mittal N.V.,http://www.arcelormittal.com,#NAME?,#NAME?,Non-Energy Materials,1,NA,NA,,,68679
000P9L-E,LOW,"Lowe's Companies, Inc.",http://www.lowes.com,NYSE,Retail Trade,Consumer Cyclicals,1,19841105,20180706,96.14,77959.02,68619
05FMFC-E,8058,Mitsubishi Corporation,http://www.mitsubishicorp.com,TOKYO,Distribution Services,Industrials,1,19850102,20180706,28.14976,44760.28,68276.6
05GDR1-E,461785,Deutsche Post AG,http://www.dpdhl.com,XETRA,Transportation,Industrials,1,20001120,20180706,32.43894,40032.46,68176.88
05HWYZ-E,8002,Marubeni Corporation,http://www.marubeni.co.jp,TOKYO,Distribution Services,Consumer Non-Cyclicals,1,19850102,20180706,7.567568,13151.99,68033.67
05FWBG-E,596651,Societe Generale S.A. Class A,http://www.societegenerale.com,EURONEXT PARIS,Finance,Finance,1,19870820,20180706,43.17354,34880.67,68024.61
05FWBG-E,2503502B,Societe Generale,http://www.societegenerale.com,#NAME?,#NAME?,Finance,1,NA,NA,,,68024.61
05FWBG-E,2503502C,Societe Generale,http://www.societegenerale.com,#NAME?,#NAME?,Finance,1,NA,NA,,,68024.61
05HDYH-E,576149,AUDI AG,http://www.audi.de,FRANKFURT,Consumer Durables,Consumer Cyclicals,1,19850102,20180706,884.164,38019.05,67820.45
0BDGY2-E,MPC,Marathon Petroleum Corporation,http://www.marathonpetroleum.com,NYSE,Energy Minerals,Energy,1,20110623,20180706,70.2,32146.78,67289
05HDYJ-E,471279,Renault SA,http://www.renault.com,EURONEXT PARIS,Consumer Durables,Consumer Cyclicals,1,19941118,20180706,87.53458,25885.93,66288.71
05HDYJ-E,2509009B,Renault (Regie Nationale Des,http://www.renault.com,#NAME?,#NAME?,Consumer Cyclicals,1,NA,NA,,,66288.71
05HDYJ-E,2509009C,Renault (Regie Nationale Des,http://www.renault.com,#NAME?,#NAME?,Consumer Cyclicals,1,NA,NA,,,66288.71
000Y4G-E,UPS,"United Parcel Service, Inc. Class B",http://www.ups.com,NYSE,Transportation,Industrials,1,19991110,20180706,106.03,91787.79,65837
00BSDK-E,B037HR,Itau Unibanco Holding SA Pfd,http://www.itau.com.br,SAO PAULO,Finance,Finance,1,19921123,20180706,10.71106,65329.16,65712.98
001TR0-E,FDX,FedEx Corporation,http://www.fedex.com,NYSE,Transportation,Industrials,1,19841105,20180706,228.27,61080,65450
003KJ3-E,625376,Indian Oil Corp. Ltd.,http://www.iocl.com,BSE INDIA,Energy Minerals,Energy,1,19960320,20180706,2.272843,22073.42,65381.98
002P2G-E,FDS0T9ZL,Kuwait Petroleum Corp.,http://www.kpc.com.kw,#NAME?,#NAME?,Energy,1,NA,NA,,,65115.43
000TRY-E,PG,Procter & Gamble Company,http://www.pg.com,NYSE,Consumer Non-Durables,Consumer Non-Cyclicals,1,19841105,20180706,79.31,199432.8,65058
05GGL5-E,598381,Zurich Insurance Group Ltd,http://www.zurich.com,SIX SWISS,Finance,Finance,1,19850516,20180706,298.7414,45213.92,64109
05G2MG-E,21623,Aviva plc,http://www.aviva.com,LONDON,Finance,Finance,1,19850102,20180706,6.58548,26145.04,63717.57
000T99-E,PEP,"PepsiCo, Inc.",http://www.pepsico.com,NASDAQ,Consumer Non-Durables,Consumer Non-Cyclicals,1,19841105,20180706,109.56,155339.5,63525
000N01-E,INTC,Intel Corporation,http://www.intel.com,NASDAQ,Electronic Technology,Technology,1,19841105,20180706,51.37,239384.2,62761
002PV7-E,MET,"MetLife, Inc.",http://www.metlife.com,NYSE,Finance,Finance,1,20000405,20180706,43.73,44280.09,62663
0G3777-E,DWDP,DowDuPont Inc.,http://www.dow-dupont.com,NYSE,Process Industries,Non-Energy Materials,1,19841105,20180706,65.93,153334.4,62374
00371D-E,PRU,"Prudential Financial, Inc.",http://www.prudential.com,NYSE,Finance,Finance,1,20011213,20180706,94.85,39622.8,61354
000C8L-E,ADM,Archer-Daniels-Midland Company,http://www.adm.com,NYSE,Process Industries,Consumer Non-Cyclicals,1,19841105,20180706,46.71,25912.59,60839
05HRR3-E,609962,Reliance Industries Limited,http://www.ril.com,BSE INDIA,Energy Minerals,Energy,1,19980115,20180706,14.17261,89803.32,60624.63
05DZG8-E,B12T3J,Unilever NV Cert. of shs,http://www.unilever.com,EURONEXT AMSTERDAM,Consumer Non-Durables,Consumer Non-Cyclicals,1,19870630,20180706,56.26552,96480.03,60587
002BV8-E,B10RZP,Unilever PLC,http://www.unilever.com,LONDON,Consumer Non-Durables,Consumer Non-Cyclicals,1,19870629,20180706,55.87237,67350.58,60587
0017BR-E,AET,Aetna Inc.,http://www.aetna.com,NYSE,Health Services,Healthcare,1,19841105,20180706,186.21,60510.23,60543
081DJS-E,FDSE76F1,BPCE SA,http://www.groupebpce.fr,#NAME?,Finance,Finance,1,NA,NA,,,60238.47
003KTP-E,713360,Equinor ASA,http://www.equinor.com,OSLO,Energy Minerals,Energy,1,20010618,20180706,26.99437,90125.04,60217
05HHHQ-E,FDSE04DF,Groupe Auchan S.A.,http://www.groupe-auchan.com,#NAME?,Retail Trade,Consumer Non-Cyclicals,1,NA,NA,,,59955.36
0FMYSW-E,ABS,Albertsons Companies Inc,http://www.albertsonscompanies.com,NYSE,Retail Trade,Consumer Non-Cyclicals,1,19841105,NA,,,59924.6
000Y55-E,UTX,United Technologies Corporation,http://www.utc.com,NYSE,Producer Manufacturing,Industrials,1,19841105,20180706,125.4,99967.38,59798
05HWNP-E,BD0BDH,"PTT Public Co., Ltd.",http://www.pttplc.com,THAILAND,Energy Minerals,Energy,1,20011206,20180706,1.394122,39820.3,58812.69
0CYDCG-E,FDS0LOYK,AB Acquisition LLC,#NAME?,#NAME?,#NAME?,Consumer Non-Cyclicals,1,NA,NA,,,58734
05DZGP-E,573252,Telefonica SA,http://www.telefonica.com,SPAIN,Communications,Telecommunications,1,19850102,20180706,9.065033,47066.84,58661.62
05HX88-E,8015,Toyota Tsusho Corp.,http://www.toyota-tsusho.com,TOKYO,Distribution Services,Industrials,1,19850102,20180706,33.04813,11700.9,58566.21
0010XG-E,8750,"Dai-ichi Life Holdings,Inc.",http://www.dai-ichi-life-hd.com,TOKYO,Finance,Finance,1,20100401,20180706,17.54267,21016.52,58524.57
05HWG7-E,619615,CITIC Limited,http://www.citic.com,HONG KONG,Distribution Services,Finance,1,19861006,20180706,1.34542,39138.63,57814.27
05Z1CG-E,B0B8Z2,"Bank of Communications Co., Ltd. Class H",http://www.bankcomm.com,HONG KONG,Finance,Finance,1,20050623,20180706,0.6969174,58410.91,56980.08
05G3GH-E,726261,Credit Agricole SA,http://www.credit-agricole.com,EURONEXT PARIS,Finance,Finance,1,20011214,20180706,13.53288,38604.37,56580.58
001RVZ-E,BZ5739,ING Groep NV,http://www.ing.com,EURONEXT AMSTERDAM,Finance,Finance,1,19850311,20180706,14.77918,57513.47,56579.45
0GH7WP-E,BYYHL2,Anheuser-Busch InBev SA/NV,http://www.ab-inbev.com,EURONEXT BRUSSELS,Consumer Non-Durables,Consumer Non-Cyclicals,1,20001201,20180706,104.4066,210822.2,56444
07H0VZ-E,0564814B,Anheuser-Busch Inbev Sa,http://www.InBev.com,#NAME?,#NAME?,Consumer Non-Cyclicals,1,NA,NA,,,56444
07H0VZ-E,0564814C,Anheuser-Busch Inbev Sa,http://www.InBev.com,#NAME?,#NAME?,Consumer Non-Cyclicals,1,NA,NA,,,56444
060S0N-E,FDS08J16,ING Bank N.V.,#NAME?,#NAME?,#NAME?,Finance,1,NA,NA,,,56368.53
05VB30-E,613936,Oil & Natural Gas Corp. Ltd.,http://www.ongcindia.com,BSE INDIA,Energy Minerals,Energy,1,19990722,20180706,2.259055,28990.98,56191.78
